index,issues,currency,experience,language,salary_1,salary_2
39,Unrealistic low COP salary: 9.0M,Pesos colombianos (COP),15.0,Javascript,,9000000.0
51,Unrealistic low USD salary: $40.867,Dólares americanos (USD),4.0,Javascript,40.867,
68,Unrealistic high USD salary: $505548000.0,Dólares americanos (USD),7.0,Typescript,505548000.0,
89,Unrealistic low USD salary: $4750.0,Dólares americanos (USD),7.0,Javascript,4750.0,
102,Unrealistic low COP salary: 0.0M,Pesos colombianos (COP),20.0,Typescript,,264.0
123,Unrealistic low COP salary: 4.0M,Pesos colombianos (COP),10.0,PHP,4000000.0,
127,Unrealistic low COP salary: 2.6M,Pesos colombianos (COP),3.0,Javascript,2640000.0,
140,Unrealistic low USD salary: $2300.0,Dólares americanos (USD),3.0,Javascript,2300.0,
162,Unrealistic low COP salary: 0.0M,Pesos colombianos (COP),5.0,Kotlin,,220.0
183,Unrealistic low USD salary: $2500.0,Dólares americanos (USD),4.0,Javascript,2500.0,
184,Unrealistic low USD salary: $3500.0,Dólares americanos (USD),0.0,Python,3500.0,
192,Unrealistic low COP salary: 5.0M,Pesos colombianos (COP),1.5,Java,,5000000.0
215,Unrealistic low USD salary: $4200.0,Dólares americanos (USD),4.0,Typescript,4200.0,
224,Unrealistic low COP salary: 7.3M,Pesos colombianos (COP),5.0,Javascript,,7290000.0
246,Unrealistic low COP salary: 4.1M,Pesos colombianos (COP),3.0,Python,,4082000.0
254,Unrealistic low USD salary: $3300.0,Dólares americanos (USD),7.0,Python,3300.0,
268,Unrealistic low USD salary: $100.0,Dólares americanos (USD),7.0,Kotlin,100.0,
292,Unrealistic high USD salary: $130000000.0,Dólares americanos (USD),5.0,Kotlin,,130000000.0
300,Unrealistic low USD salary: $600.0,Dólares americanos (USD),6.0,Javascript,600.0,
309,Unrealistic low USD salary: $70.0,Dólares americanos (USD),12.0,C#,70.0,
316,Unrealistic low USD salary: $108.0,Dólares americanos (USD),5.0,Javascript,108.0,
324,Unrealistic low COP salary: 5.0M,Pesos colombianos (COP),5.0,PHP,,5000000.0
330,Unrealistic low COP salary: 9.2M,Pesos colombianos (COP),6.0,Java,,9200000.0
343,Unrealistic low USD salary: $4200.0,Dólares americanos (USD),4.0,Typescript,4200.0,
346,Unrealistic low COP salary: 2.0M,Pesos colombianos (COP),1.0,Javascript,,2036120.0
389,Unrealistic low COP salary: 5.3M,Pesos colombianos (COP),15.0,Java,,5300000.0
391,Unrealistic high USD salary: $1.2312312312312312e+19,Dólares americanos (USD),5.0,Dart,1.2312312312312312e+19,
394,Unrealistic low COP salary: 3.6M,Pesos colombianos (COP),4.0,Javascript,,3600000.0
395,Unrealistic low COP salary: 4.0M,Pesos colombianos (COP),4.0,Javascript,,4000000.0
401,Unrealistic low COP salary: 3.0M,Pesos colombianos (COP),1.7,SQL,,3000000.0
