respondent_id,date_created,date_modified,company-type,company-activity,company-years,position,seniority,founder,experience,main-programming-language,contract-type,workmode,work-time,currency,income-in-currency,extra-income-in-currency,stocks,stock-type,max-title,english-level,city
12994465049,09/24/2021 6:52:52 PM,09/24/2021 7:06:25 PM,Empresa Colombiana con mercado Colombiano,"Servicio no tecnológico (banca, seguros, contabilidad, etc)",2 - 5,Frontend Developer/ Engineer,Mid (intermedio),No,1+ año,JavaScript,Contrato a término indefinido,"Teletrabajo (100% trabajo en casa, debido a que así lo indica el contrato)",48,Pesos,42000000,0,0,No,Maestría,Básico (puede leer documentación y código en inglés),Medellín
12993375661,09/24/2021 10:37:20 AM,09/24/2021 10:44:00 AM,Empresa extranjera,"Servicio habilitado por tecnología (similar a domicilios.com, Uber, Tappsi, Bunny inc, Etsy, e-commerce)",2 - 5,Backend Developer/ Engineer,Mid (intermedio),No,3 - 5 años,TypeScript,Contratista internacional,"Teletrabajo (100% trabajo en casa, debido a que así lo indica el contrato)",20,Dólares,24000,0,0,No,Maestría,Avanzado (puede liderar una reunion de varias personas en ingles cómodamente),Medellín
12982331130,09/20/2021 6:44:44 PM,09/20/2021 7:06:33 PM,Empresa Colombiana con mercado Colombiano,Consultoría y servicios de desarrollo de software a la medida,Más de 10,QA / Tester Engineer,Junior (Principiante),No,2+ años,Java,Contrato a término indefinido,"Teletrabajo (100% trabajo en casa, debido a que así lo indica el contrato)",45,Pesos,21600000,3600000,1800000,No,Bachiller,Básico (puede leer documentación y código en inglés),Medellín
12981117823,09/20/2021 10:27:50 AM,09/20/2021 11:16:58 AM,Empresa extranjera,"Servicio o producto de tecnología (similar a Dropbox, GitHub, Stripe, Heroku o hardware)",Más de 10,QA / Tester Engineer,Mid (intermedio),No,3 - 5 años,TypeScript,"Contrato a término indefinido con empresa local, pero trabajo para empresa extranjera","Flexible (va a la oficina, pero puede trabajar desde casa cuando quiera)",42,Pesos,64800000,0,0,No,Pregrado,Intermedio (puede pasar una entrevista de programación en ingles cómodamente),Medellín
12981194677,09/20/2021 10:53:45 AM,09/20/2021 11:08:57 AM,Empresa Colombiana con mercado global,"Servicio o producto de tecnología (similar a Dropbox, GitHub, Stripe, Heroku o hardware)",Más de 10,QA / Tester Engineer,Junior (Principiante),No,2+ años,Java,"Contrato a término indefinido con empresa local, pero trabajo para empresa extranjera","Flexible (va a la oficina, pero puede trabajar desde casa cuando quiera)",45,Pesos,48000000,4000000,0,No,Técnico,Intermedio (puede pasar una entrevista de programación en ingles cómodamente),Medellín
12981123858,09/20/2021 10:29:55 AM,09/20/2021 10:43:00 AM,Empresa extranjera,Consultoría y servicios de desarrollo de software a la medida,Más de 10,Backend Developer/ Engineer,Mid (intermedio),No,3 - 5 años,Java,Contrato a término indefinido,"Flexible (va a la oficina, pero puede trabajar desde casa cuando quiera)",45,Pesos,96000000,0,0,No,Pregrado,Intermedio (puede pasar una entrevista de programación en ingles cómodamente),Medellín
12978588177,09/19/2021 1:03:46 AM,09/19/2021 1:13:01 AM,Empresa extranjera,"Servicio habilitado por tecnología (similar a domicilios.com, Uber, Tappsi, Bunny inc, Etsy, e-commerce)",5 - 10,Frontend Developer/ Engineer,Senior (Avanzado),No,3 - 5 años,TypeScript,Contrato a término indefinido,"Remoto (ocupa más del 70% de su tiempo trabajando en casa, cowork o un Café)",32,Pesos,55000000,0,0,Sí - stock options,Bachiller,Intermedio (puede pasar una entrevista de programación en ingles cómodamente),Bogotá
12978409087,09/18/2021 4:58:15 PM,09/18/2021 8:59:33 PM,Empresa extranjera,Consultoría y servicios de desarrollo de software a la medida,2 - 5,Analyst / Analista,Mid (intermedio),No,3 - 5 años,Python,"Contrato a término indefinido con empresa local, pero trabajo para empresa extranjera","Remoto (ocupa más del 70% de su tiempo trabajando en casa, cowork o un Café)",40,Pesos,50400000,8400000,3200000,No,Pregrado,Avanzado (puede liderar una reunion de varias personas en ingles cómodamente),Medellín
12978175383,09/18/2021 4:20:25 PM,09/18/2021 4:26:00 PM,Empresa Colombiana con mercado EEUU,Consultoría y servicios de desarrollo de software a la medida,2 - 5,Software Architect / Arquitecto de software,Senior (Avanzado),Sí,5 - 10 años,TypeScript,Contrato a término fijo,"Remoto (ocupa más del 70% de su tiempo trabajando en casa, cowork o un Café)",50,Pesos,60000000,0,0,Sí - stock options,Maestría,Avanzado (puede liderar una reunion de varias personas en ingles cómodamente),Pasto
12978150540,09/18/2021 3:52:19 PM,09/18/2021 4:15:42 PM,Empresa Colombiana con mercado EEUU,"Servicio no tecnológico (banca, seguros, contabilidad, etc)",5 - 10,Software Engineer,Mid (intermedio),No,5 - 10 años,Java,Contrato a término indefinido,"Remoto (ocupa más del 70% de su tiempo trabajando en casa, cowork o un Café)",43,Pesos,87000000,9000000,0,No,Pregrado,Avanzado (puede liderar una reunion de varias personas en ingles cómodamente),Bogotá
